"","STATEFP","COUNTYFP","TRACTCE","POPULATION","LATITUDE","LONGITUDE"
"1476",4,13,40519,3595,33.744497,-112.338887
"1477",4,13,40520,4142,33.754697,-112.328372
"1478",4,13,40521,4560,33.696067,-112.31675
"1479",4,13,40522,4181,33.687181,-112.375914
"1480",4,13,40523,3300,33.690558,-112.348112
"1481",4,13,40524,1474,33.674655,-112.41735
"1482",4,13,40525,3046,33.660556,-112.428247
"1483",4,13,40526,2365,33.64636,-112.444581
"1484",4,13,40527,4184,33.645318,-112.425406
"1485",4,13,40528,6212,33.652282,-112.402827
"1486",4,13,40529,3222,33.66467,-112.394432
"1487",4,13,40530,3559,33.644394,-112.383404
"1488",4,13,40531,3395,33.644855,-112.369479
"1489",4,13,50603,4536,33.444611,-112.908187
"1490",4,13,50604,3727,33.395403,-112.765808
"1491",4,13,50605,5828,33.484004,-112.637421
"1492",4,13,50606,6799,33.489525,-112.489795
"1493",4,13,50607,6505,33.405664,-112.600389
"1494",4,13,50608,7163,33.432518,-112.554841
"1495",4,13,50609,4874,33.442897,-112.538288
"1496",4,13,50610,7915,33.436631,-112.511223
"1497",4,13,50611,4477,33.393342,-112.549571
"1498",4,13,50701,5092,33.384052,-112.593066
"1499",4,13,50702,5280,33.37023,-112.582679
"1500",4,13,60801,5832,33.630787,-112.330587
"1501",4,13,60802,1975,33.622877,-112.317618
"1502",4,13,60901,4640,33.617211,-112.335702
"1503",4,13,60902,3842,33.61216,-112.326318
"1504",4,13,60903,4983,33.601681,-112.320236
"1505",4,13,60904,3527,33.600335,-112.312121
"1506",4,13,61009,8318,33.462984,-112.401905
"1507",4,13,61010,4638,33.496805,-112.35783
"1508",4,13,61011,5705,33.519042,-112.330738
"1509",4,13,61012,7680,33.467904,-112.355055
"1510",4,13,61013,5709,33.499273,-112.331947
"1511",4,13,61014,4905,33.486508,-112.332073
"1512",4,13,61015,5757,33.47253,-112.332671
"1513",4,13,61016,4614,33.499435,-112.393327
"1514",4,13,61017,3496,33.46995,-112.4404
"1515",4,13,61018,4660,33.486247,-112.391748
"1516",4,13,61019,3161,33.443429,-112.440841
"1517",4,13,61020,3835,33.486716,-112.368616
"1518",4,13,61021,1753,33.485406,-112.348886
"1519",4,13,61022,8869,33.443571,-112.403271
"1520",4,13,61023,9200,33.42795,-112.413342
"1521",4,13,61024,2177,33.417378,-112.40397
"1522",4,13,61025,7445,33.631347,-112.438389
"1523",4,13,61026,5458,33.63102,-112.419292
"1524",4,13,61027,5539,33.631574,-112.401861
"1525",4,13,61028,2417,33.63357,-112.387191
"1526",4,13,61029,4905,33.630784,-112.351761
"1527",4,13,61030,7272,33.618685,-112.440875
"1528",4,13,61031,3315,33.601259,-112.435615
"1529",4,13,61032,5579,33.616855,-112.402538
"1530",4,13,61033,6011,33.616754,-112.385013
"1531",4,13,61034,6764,33.617642,-112.368819
"1532",4,13,61035,6699,33.616314,-112.350386
"1533",4,13,61036,2489,33.586039,-112.402824
"1534",4,13,61037,3957,33.601006,-112.384898
"1535",4,13,61038,4525,33.589597,-112.385809
"1536",4,13,61039,3708,33.591922,-112.368348
"1537",4,13,61040,3929,33.601988,-112.337569
"1538",4,13,61041,4319,33.601163,-112.329197
"1539",4,13,61042,2120,33.588804,-112.316186
"1540",4,13,61043,2452,33.590281,-112.333744
"1541",4,13,61044,5553,33.569021,-112.447824
"1542",4,13,61045,4960,33.533233,-112.437766
"1543",4,13,61046,5183,33.527975,-112.349053
"1544",4,13,61047,3264,33.517366,-112.349614
"1545",4,13,61100,3436,33.537739,-112.353362
"1546",4,13,61200,6114,33.444593,-112.34474
"1547",4,13,61300,1930,33.44219,-112.355767
"1548",4,13,61401,1972,33.432531,-112.350059
"1549",4,13,61402,5505,33.426987,-112.346451
"1550",4,13,71503,4708,33.608862,-112.276818
"1551",4,13,71504,3394,33.627859,-112.280541
"1552",4,13,71505,5964,33.621283,-112.298151
"1553",4,13,71506,4260,33.625361,-112.262903
"1554",4,13,71509,5401,33.621328,-112.227727
"1555",4,13,71510,4078,33.603371,-112.213095
"1556",4,13,71511,3339,33.631493,-112.209498
"1557",4,13,71512,5917,33.603295,-112.229476
"1558",4,13,71513,1550,33.620782,-112.213793
"1559",4,13,71514,4021,33.629839,-112.246892
"1560",4,13,71515,3674,33.617869,-112.249455
"1561",4,13,71516,2886,33.604346,-112.259865
"1562",4,13,71517,3740,33.601632,-112.244081
"1563",4,13,71600,3668,33.591335,-112.302237
"1564",4,13,71701,2634,33.573559,-112.308523
"1565",4,13,71702,3219,33.584222,-112.294461
"1566",4,13,71801,5148,33.588987,-112.276399
"1567",4,13,71802,3302,33.573659,-112.279998
"1568",4,13,71903,6306,33.588772,-112.212346
"1569",4,13,71906,5816,33.573869,-112.247238
"1570",4,13,71909,3797,33.57234,-112.263694
"1571",4,13,71910,6218,33.588649,-112.229027
"1572",4,13,71911,3081,33.574108,-112.228718
"1573",4,13,71912,2817,33.584317,-112.253115
"1574",4,13,71913,5071,33.588557,-112.245472
"1575",4,13,71914,3125,33.574885,-112.215938
"1576",4,13,71915,3439,33.573469,-112.207286
"1577",4,13,82002,5807,33.500149,-112.280887
"1578",4,13,82007,4077,33.502015,-112.250683
"1579",4,13,82008,5058,33.50168,-112.24214
"1580",4,13,82009,4668,33.487067,-112.250479
"1581",4,13,82010,3931,33.488017,-112.242157
"1582",4,13,82012,5708,33.500538,-112.297191
"1583",4,13,82016,2348,33.504185,-112.26174
"1584",4,13,82017,4275,33.470537,-112.26013
"1585",4,13,82018,4685,33.476169,-112.246997
"1586",4,13,82019,2391,33.489522,-112.301796
"1587",4,13,82020,3833,33.482303,-112.301684
"1588",4,13,82021,2070,33.487685,-112.283987
"1589",4,13,82022,4171,33.468231,-112.314115
"1590",4,13,82023,5366,33.471891,-112.297775
"1591",4,13,82024,4081,33.470893,-112.285075
"1592",4,13,82025,2378,33.442345,-112.326393
"1593",4,13,82026,5995,33.442722,-112.314001
"1594",4,13,82027,3978,33.446695,-112.298229
"1595",4,13,82028,4214,33.469269,-112.247013
"1596",4,13,82203,7512,33.418745,-112.280911
"1597",4,13,82204,5359,33.416191,-112.263011
"1598",4,13,82205,5124,33.427533,-112.246106
"1599",4,13,82206,3092,33.4176,-112.244639
